09:48:11.232 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
10:28:18.696 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@103f852, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@587c290d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4516af24, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4ae82894, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@543788f3]
10:28:18.786 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 10:28:18 CET 2016]; root of context hierarchy
10:28:19.252 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished server test. 
10:28:19.252 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished all servers.
10:28:19.257 [Thread-0] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 10:28:18 CET 2016]; root of context hierarchy
10:32:51.973 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
10:32:51.989 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@103f852, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@587c290d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4516af24, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4ae82894, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@543788f3]
10:32:52.077 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 10:32:52 CET 2016]; root of context hierarchy
10:32:52.570 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished server test. 
10:32:52.573 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished all servers.
10:32:52.577 [Thread-0] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 10:32:52 CET 2016]; root of context hierarchy
10:33:07.067 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
10:33:07.085 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@103f852, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@587c290d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4516af24, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4ae82894, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@543788f3]
10:33:07.171 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 10:33:07 CET 2016]; root of context hierarchy
10:33:07.751 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished server test. 
10:33:07.752 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished all servers.
10:33:07.755 [Thread-0] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 10:33:07 CET 2016]; root of context hierarchy
12:04:19.151 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
12:04:19.166 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@103f852, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@587c290d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4516af24, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4ae82894, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@543788f3]
12:04:19.246 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 12:04:19 CET 2016]; root of context hierarchy
12:04:19.773 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished server test. 
12:04:19.773 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished all servers.
12:04:19.778 [Thread-0] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 12:04:19 CET 2016]; root of context hierarchy
12:04:54.651 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
12:04:54.666 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@103f852, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@587c290d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4516af24, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4ae82894, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@543788f3]
12:04:54.751 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 12:04:54 CET 2016]; root of context hierarchy
12:04:55.281 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished server test. 
12:04:55.281 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished all servers.
12:04:55.286 [Thread-0] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 12:04:54 CET 2016]; root of context hierarchy
12:11:28.867 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
12:11:28.882 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@103f852, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@587c290d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4516af24, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4ae82894, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@543788f3]
12:11:28.968 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 12:11:28 CET 2016]; root of context hierarchy
12:11:29.510 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished server test. 
12:11:29.510 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished all servers.
12:11:29.515 [Thread-0] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 12:11:28 CET 2016]; root of context hierarchy
12:36:16.793 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
12:36:16.808 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@103f852, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@587c290d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4516af24, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4ae82894, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@543788f3]
12:36:16.893 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 12:36:16 CET 2016]; root of context hierarchy
12:36:17.373 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished server test. 
12:36:17.378 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished all servers.
12:36:17.378 [Thread-0] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 12:36:16 CET 2016]; root of context hierarchy
12:48:19.950 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
12:48:19.959 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@103f852, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@587c290d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4516af24, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4ae82894, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@543788f3]
12:48:20.063 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 12:48:20 CET 2016]; root of context hierarchy
12:48:20.613 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished server test. 
12:48:20.613 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished all servers.
12:48:20.616 [Thread-0] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 12:48:20 CET 2016]; root of context hierarchy
17:15:48.449 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
17:15:48.464 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@103f852, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@587c290d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4516af24, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4ae82894, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@543788f3]
17:15:48.549 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 17:15:48 CET 2016]; root of context hierarchy
17:15:49.088 [Thread-0] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 17:15:48 CET 2016]; root of context hierarchy
